"sample_id","day","inoc","T","feedstock","pH","rep","inoc_T","T_inoc","inoc_pH","T_pH","pH_inoc","feedstock_T","day_2","C4","ISOC5","ISOC4","C3","C2","C5","C6","C7","ISOC6","total","SID"
"B_35_F_5_A_D0",0,"B",35,"F",5,"A","B_35 ","35_B","B_pH_5","35_pH_5","pH_5_B","F_35","D0",0,0.055957595,0.078359698,0.185172569,0.288419886,0,0,0,0,0.607909748,NA
"B_35_F_5_B_D0",0,"B",35,"F",5,"B","B_35 ","35_B","B_pH_5","35_pH_5","pH_5_B","F_35","D0",0,0,0,0.060759423,0.223665476,0,0,0,0,0.284424899,NA
"B_35_F_5_C_D0",0,"B",35,"F",5,"C","B_35 ","35_B","B_pH_5","35_pH_5","pH_5_B","F_35","D0",0,0,0,0.049112819,0.306060244,0,0,0,0,0.355173063,NA
"B_35_F_7_A_D0",0,"B",35,"F",7,"A","B_35 ","35_B","B_pH_7","35_pH_7","pH_7_B","F_35","D0",0,0,0,0,0.120522129,0,0,0,0,0.120522129,NA
"B_35_F_9_A_D0",0,"B",35,"F",9,"A","B_35 ","35_B","B_pH_9","35_pH_9","pH_9_B","F_35","D0",0,0,0,0.012744849,0.256561201,0,0,0,0,0.26930605,NA
"B_35_F_9_B_D0",0,"B",35,"F",9,"B","B_35 ","35_B","B_pH_9","35_pH_9","pH_9_B","F_35","D0",0,0,0,0.039331758,0.288419886,0,0,0,0,0.327751644,NA
"B_35_F_9_C_D0",0,"B",35,"F",9,"C","B_35 ","35_B","B_pH_9","35_pH_9","pH_9_B","F_35","D0",0,0,0,0.029006745,0.160985146,0,0,0,0,0.189991891,NA
"B_45_F_5_A_D0",0,"B",45,"F",5,"A","B_45 ","45_B","B_pH_5","45_pH_5","pH_5_B","F_45","D0",0.005590079,0.063577777,0,0.085149004,0.256561201,0.07497206,0.166744888,0.332924845,0,0.985519854,NA
"B_45_F_5_B_D0",0,"B",45,"F",5,"B","B_45 ","45_B","B_pH_5","45_pH_5","pH_5_B","F_45","D0",0,0,0,0.031156635,0.272236399,0.052554981,0.164267468,0.382737901,0,0.902953384,NA
"B_45_F_5_C_D0",0,"B",45,"F",5,"C","B_45 ","45_B","B_pH_5","45_pH_5","pH_5_B","F_45","D0",0.047380795,0.105488784,0.072099055,0.119995923,0.535324694,0.171811173,0.251782935,0.361948238,0,1.665831597,NA
"B_45_F_7_A_D0",0,"B",45,"F",7,"A","B_45 ","45_B","B_pH_7","45_pH_7","pH_7_B","F_45","D0",0,0,0,0,0.163491499,0,0,0,0,0.163491499,NA
"B_45_F_9_A_D0",0,"B",45,"F",9,"A","B_45 ","45_B","B_pH_9","45_pH_9","pH_9_B","F_45","D0",0,0,0,0,0.320278571,0,0,0,0,0.320278571,NA
"B_45_F_9_B_D0",0,"B",45,"F",9,"B","B_45 ","45_B","B_pH_9","45_pH_9","pH_9_B","F_45","D0",0,0,0,0,0.599015163,0,0,0,0,0.599015163,NA
"B_45_F_9_C_D0",0,"B",45,"F",9,"C","B_45 ","45_B","B_pH_9","45_pH_9","pH_9_B","F_45","D0",0,0,0,0.030297372,0.160985146,0,0,0,0,0.191282518,NA
"B_35_M_5_A_D0",0,"B",35,"M",5,"A","B_35","35_B","B_pH_5","35_pH_5","pH_5_B","M_35","D0",0,0,0,0,0.3,0,0,0,0,0.3,NA
"B_35_M_5_B_D0",0,"B",35,"M",5,"B","B_35","35_B","B_pH_5","35_pH_5","pH_5_B","M_35","D0",0,0,0,0,0,0,0,0,0,0,NA
"B_35_M_5_C_D0",0,"B",35,"M",5,"C","B_35","35_B","B_pH_5","35_pH_5","pH_5_B","M_35","D0",0,0,0,0.1,0,0,0,0,0,0.1,NA
"B_35_M_7_B_D0",0,"B",35,"M",7,"B","B_35","35_B","B_pH_7","35_pH_7","pH_7_B","M_35","D0",0,0,0,0,0.2,0,0,0,0,0.2,NA
"B_35_M_7_C_D0",0,"B",35,"M",7,"C","B_35","35_B","B_pH_7","35_pH_7","pH_7_B","M_35","D0",0,0,0,0,0.2,0,0,0,0,0.2,NA
"B_35_M_9_A_D0",0,"B",35,"M",9,"A","B_35","35_B","B_pH_9","35_pH_9","pH_9_B","M_35","D0",0,0,0,0,0.6,0,0,0,0,0.6,NA
"B_35_M_9_B_D0",0,"B",35,"M",9,"B","B_35","35_B","B_pH_9","35_pH_9","pH_9_B","M_35","D0",0,0,0,0.1,1.1,0,0,0,0,1.2,NA
"B_35_M_9_C_D0",0,"B",35,"M",9,"C","B_35","35_B","B_pH_9","35_pH_9","pH_9_B","M_35","D0",0,0,0,0,0.8,0,0,0,0,0.8,NA
"B_45_M_5_A_D0",0,"B",45,"M",5,"A","B_45","45_B","B_pH_5","45_pH_5","pH_5_B","M_45","D0",0,0,0,0,0.3,0,0,0,0,0.3,NA
"B_45_M_5_C_D0",0,"B",45,"M",5,"C","B_45","45_B","B_pH_5","45_pH_5","pH_5_B","M_45","D0",0,0,0,0,0.4,0,0,0,0,0.4,NA
"B_45_M_7_A_D0",0,"B",45,"M",7,"A","B_45","45_B","B_pH_7","45_pH_7","pH_7_B","M_45","D0",0,0,0,0,0.3,0,0,0,0,0.3,NA
"B_45_M_7_B_D0",0,"B",45,"M",7,"B","B_45","45_B","B_pH_7","45_pH_7","pH_7_B","M_45","D0",0,0,0,0,0.5,0,0,0,0,0.5,NA
"B_45_M_7_C_D0",0,"B",45,"M",7,"C","B_45","45_B","B_pH_7","45_pH_7","pH_7_B","M_45","D0",0,0,0,0,0.3,0,0,0,0,0.3,NA
"B_45_M_9_A_D0",0,"B",45,"M",9,"A","B_45","45_B","B_pH_9","45_pH_9","pH_9_B","M_45","D0",0,0,0,0,1,0,0,0,0,1,NA
"B_45_M_9_B_D0",0,"B",45,"M",9,"B","B_45","45_B","B_pH_9","45_pH_9","pH_9_B","M_45","D0",0.1,0.1,0,0.2,0.7,0,0,0,0,1.1,NA
"B_45_M_9_C_D0",0,"B",45,"M",9,"C","B_45","45_B","B_pH_9","45_pH_9","pH_9_B","M_45","D0",0,0,0,0,0.7,0,0,0,0,0.7,NA
"A_35_F_5_A_D0",0,"A",35,"F",5,"A","A_35 ","35_A","A_pH_5","35_pH_5","pH_5_A","F_35","D0",0,0,0,0,0.106018222,0,0,0,0,0.106018222,NA
"A_35_F_5_B_D0",0,"A",35,"F",5,"B","A_35 ","35_A","A_pH_5","35_pH_5","pH_5_A","F_35","D0",0,0,0,0,0.219308334,0,0,0,0,0.219308334,NA
"A_35_F_5_C_D0",0,"A",35,"F",5,"C","A_35 ","35_A","A_pH_5","35_pH_5","pH_5_A","F_35","D0",0,0,0,0,0.128584437,0,0,0,0,0.128584437,NA
